<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ABC,20171010,14.7358,14.7358,14.4065,14.4066,10910,17.9000,17.9000,17.5000,17.5000,0,0,0
ABC,20171009,14.6535,14.6535,14.5712,14.6535,11100,17.8000,17.8000,17.7000,17.8000,0,0,0
ABC,20171006,14.7359,14.8182,14.5712,14.7358,1600,17.9000,18.0000,17.7000,17.9000,0,0,0
ABC,20171005,14.7358,14.7358,14.4065,14.4066,11500,17.9000,17.9000,17.5000,17.5000,0,0,0
ABC,20171004,14.5712,14.8181,14.4889,14.7358,7520,17.7000,18.0000,17.6000,17.9000,0,0,0
ABC,20171003,14.0773,14.7359,14.0773,14.6535,14300,17.1000,17.9000,17.1000,17.8000,0,0,0
ABC,20171002,14.8181,14.9004,14.4065,14.4066,13700,18.0000,18.1000,17.5000,17.5000,0,0,0
ABC,20170929,14.8182,14.9828,14.7359,14.7358,10000,18.0000,18.2000,17.9000,17.9000,0,0,0
ABC,20170928,14.9828,14.9828,14.8182,14.9005,9350,18.2000,18.2000,18.0000,18.1000,0,0,0
ABC,20170927,15.0651,15.0651,14.8182,14.9005,9900,18.3000,18.3000,18.0000,18.1000,0,0,0
ABC,20170926,14.9828,15.1474,14.4065,14.9005,42143,18.2000,18.4000,17.5000,18.1000,0,0,0
ABC,20170925,15.3121,15.3121,15.0652,15.0651,15800,18.6000,18.6000,18.3000,18.3000,0,0,0
ABC,20170922,15.4767,15.4767,15.1475,15.2298,16200,18.8000,18.8000,18.4000,18.5000,30000,0,0
ABC,20170921,15.5591,15.5591,15.3122,15.3121,12300,18.9000,18.9000,18.6000,18.6000,0,0,0
ABC,20170920,15.5591,15.6414,15.3121,15.4768,39800,18.9000,19.0000,18.6000,18.8000,0,0,0
ABC,20170919,15.5591,15.5591,15.3121,15.5591,17400,18.9000,18.9000,18.6000,18.9000,0,0,0
ABC,20170918,15.4768,15.6414,15.4768,15.5591,11900,18.8000,19.0000,18.8000,18.9000,0,0,0
ABC,20170915,16.1354,16.1354,15.6415,15.6414,13400,19.6000,19.6000,19.0000,19.0000,0,0,0
ABC,20170914,15.3944,16.0530,15.3121,15.8061,38700,18.7000,19.5000,18.6000,19.2000,0,0,0
ABC,20170913,15.2298,15.3944,15.1475,15.3944,19120,18.5000,18.7000,18.4000,18.7000,0,0,0
ABC,20170912,15.5591,15.5591,15.2298,15.3121,15800,18.9000,18.9000,18.5000,18.6000,0,0,0
ABC,20170911,15.6414,15.6414,15.3121,15.3121,13400,19.0000,19.0000,18.6000,18.6000,0,0,0
ABC,20170908,15.6414,15.8060,15.4768,15.7237,43000,19.0000,19.2000,18.8000,19.1000,0,0,0
ABC,20170907,15.8060,15.8060,15.5591,15.6414,36260,19.2000,19.2000,18.9000,19.0000,0,0,0
ABC,20170906,15.8061,15.8061,15.2298,15.6414,51085,19.2000,19.2000,18.5000,19.0000,0,0,0
ABC,20170905,15.9707,16.2177,15.5591,15.8061,73035,19.4000,19.7000,18.9000,19.2000,0,0,0
ABC,20170901,15.4768,16.3000,15.3122,15.9707,38525,18.8000,19.8000,18.6000,19.4000,0,0,0
ABC,20170831,16.4647,16.4647,15.3122,15.8061,22365,20.0000,20.0000,18.6000,19.2000,0,0,0
ABC,20170830,16.4646,16.4646,14.8181,15.8061,67335,20.0000,20.0000,18.0000,19.2000,0,0,0
ABC,20170829,17.4525,17.5348,16.3000,16.4646,91600,21.2000,21.3000,19.8000,20.0000,0,0,0
ABC,20170828,16.6293,17.9465,16.6293,17.3702,140383,20.2000,21.8000,20.2000,21.1000,0,0,0
ABC,20170825,14.5712,16.5469,14.4889,16.5470,297590,17.7000,20.1000,17.6000,20.1000,0,0,0
ABC,20170824,14.0773,14.8182,13.9950,14.6535,65500,17.1000,18.0000,17.0000,17.8000,0,0,0
ABC,20170823,14.0773,14.4066,13.9127,14.4066,22800,17.1000,17.5000,16.9000,17.5000,0,0,0
ABC,20170822,14.1595,14.4065,13.9949,14.0773,78300,17.2000,17.5000,17.0000,17.1000,0,0,0
ABC,20170821,13.8303,14.1596,13.5833,13.9949,156910,16.8000,17.2000,16.5000,17.0000,0,0,0
ABC,20170818,13.9126,13.9126,13.4187,13.5833,43300,16.9000,16.9000,16.3000,16.5000,0,0,0
ABC,20170817,14.0772,14.7358,13.8303,13.8303,70880,17.1000,17.9000,16.8000,16.8000,0,0,0
ABC,20170816,14.3242,14.4066,13.5833,13.9126,135907,17.4000,17.5000,16.5000,16.9000,0,0,0
ABC,20170815,14.8181,14.8181,14.2419,14.5712,63401,18.0000,18.0000,17.3000,17.7000,0,0,0
ABC,20170814,15.2298,15.2298,14.6535,14.6535,78700,18.5000,18.5000,17.8000,17.8000,0,0,0
ABC,20170811,15.8060,15.8060,15.2298,15.2298,36510,19.2000,19.2000,18.5000,18.5000,0,0,0
ABC,20170810,15.7237,15.7237,15.3121,15.6414,74228,19.1000,19.1000,18.6000,19.0000,0,0,0
ABC,20170809,16.0530,16.3823,15.6414,15.6414,93800,19.5000,19.9000,19.0000,19.0000,0,0,0
ABC,20170808,16.0530,16.4646,15.4768,15.5591,75310,19.5000,20.0000,18.8000,18.9000,0,0,0
ABC,20170807,16.7116,16.7116,15.6414,15.6414,92900,20.3000,20.3000,19.0000,19.0000,0,0,0
ABC,20170804,17.5349,17.5349,16.3824,16.4646,80587,21.3000,21.3000,19.9000,20.0000,0,0,0
ABC,20170803,18.1111,18.5227,16.8763,16.8763,83400,22.0000,22.5000,20.5000,20.5000,0,0,0
ABC,20170802,18.7697,18.9343,18.1934,18.4404,58624,22.8000,23.0000,22.1000,22.4000,0,4,0
ABC,20170801,18.9344,19.0167,18.7697,18.9343,46300,23.0000,23.1000,22.8000,23.0000,0,0,0
ABC,20170731,20.1692,20.1692,18.6874,19.0167,71713,24.5000,24.5000,22.7000,23.1000,0,0,0
ABC,20170728,18.6050,20.7454,18.6050,20.2515,86330,22.6000,25.2000,22.6000,24.6000,0,0,0
ABC,20170727,18.2758,19.4283,18.0288,19.3459,107460,22.2000,23.6000,21.9000,23.5000,0,0,0
ABC,20170726,18.9343,18.9343,18.0287,18.3581,159601,23.0000,23.0000,21.9000,22.3000,0,0,0
ABC,20170725,19.0989,19.7575,17.6994,19.3459,208507,23.2000,24.0000,21.5000,23.5000,0,0,0
ABC,20170724,16.4646,18.4404,16.4646,17.2055,162600,20.0000,22.4000,20.0000,20.9000,0,0,0
ABC,20170721,16.0530,16.4646,15.6414,16.0530,8249,19.5000,20.0000,19.0000,19.5000,0,0,0
ABC,20170720,15.4768,17.2055,15.3944,16.0530,9411,18.8000,20.9000,18.7000,19.5000,0,56,0
ABC,20170719,14.9005,15.6414,14.8182,15.6414,7700,18.1000,19.0000,18.0000,19.0000,0,0,0
ABC,20170718,15.9707,15.9707,14.9828,15.2298,38417,19.4000,19.4000,18.2000,18.5000,0,0,0
ABC,20170717,15.6414,16.4646,15.6414,15.9707,21650,19.0000,20.0000,19.0000,19.4000,0,0,0
ABC,20170714,17.2878,17.2878,16.0530,16.3823,65440,21.0000,21.0000,19.5000,19.9000,0,0,0
ABC,20170713,19.7576,19.7576,17.6172,17.8641,77790,24.0000,24.0000,21.4000,21.7000,0,0,0
ABC,20170712,17.6996,22.2274,17.6996,20.5808,34740,21.5000,27.0000,21.5000,25.0000,0,0,0
ABC,20170711,22.0367,22.0367,20.6301,21.2395,180140,47.0000,47.0000,44.0000,45.3000,0,0,0
ABC,20170710,22.4586,22.4586,21.5209,21.5678,44800,47.9000,47.9000,45.9000,46.0000,0,0,0
ABC,20170707,23.0212,23.0212,22.0366,22.2711,56914,49.1000,49.1000,47.0000,47.5000,0,0,0
ABC,20170706,23.3963,23.3963,22.6461,22.8337,130007,49.9000,49.9000,48.3000,48.7000,0,0,0
ABC,20170705,23.0681,23.3494,22.8806,23.3494,67006,49.2000,49.8000,48.8000,49.8000,0,0,0
ABC,20170704,23.6777,23.9121,22.8337,23.0681,81500,50.5000,51.0000,48.7000,49.2000,0,0,0
ABC,20170703,23.4433,24.3810,23.1619,23.5839,118110,50.0000,52.0000,49.4000,50.3000,0,0,0
ABC,20170630,24.1465,24.1465,22.0366,23.3026,95100,51.5000,51.5000,47.0000,49.7000,0,0,0
ABC,20170629,24.9905,25.7875,23.4432,23.9121,83000,53.3000,55.0000,50.0000,51.0000,0,0,0
ABC,20170628,26.2564,26.2564,23.2088,25.6000,149320,56.0000,56.0000,49.5000,54.6000,0,0,0
ABC,20170627,21.5678,23.2088,21.3334,23.2088,137950,46.0000,49.5000,45.5000,49.5000,0,0,0
ABC,20170626,19.2234,21.5678,19.2234,21.5209,47640,41.0000,46.0000,41.0000,45.9000,0,0,0
ABC,20170623,20.3956,21.6146,18.8014,19.6923,9700,43.5000,46.1000,40.1000,42.0000,0,0,0
ABC,20170622,18.7546,21.0989,16.4103,19.2234,27000,40.0000,45.0000,35.0000,41.0000,27700,0,0
ABC,20170609,18.7546,18.7546,18.7546,18.7546,100,40.0000,40.0000,40.0000,40.0000,0,0,0
ABC,20170608,18.0513,18.0513,18.0513,18.0513,100,38.5000,38.5000,38.5000,38.5000,0,0,0
ABC,20170606,16.1759,16.1759,16.1759,16.1758,300,34.5000,34.5000,34.5000,34.5000,0,0,0
ABC,20170531,15.6600,15.7069,15.5663,15.5663,900,33.4000,33.5000,33.2000,33.2000,0,0,0
ABC,20170525,15.7070,15.7539,15.7070,15.7538,1500,33.5000,33.6000,33.5000,33.6000,0,0,0
ABC,20170519,16.3165,16.3165,16.3165,16.3165,100,34.8000,34.8000,34.8000,34.8000,0,0,0
ABC,20170517,14.3003,14.3003,14.3003,14.3004,100,30.5000,30.5000,30.5000,30.5000,0,0,0
ABC,20170515,14.0659,14.0659,14.0659,14.0659,2000,30.0000,30.0000,30.0000,30.0000,0,0,0
ABC,20170512,14.1128,14.1128,14.1128,14.1128,400,30.1000,30.1000,30.1000,30.1000,0,0,0
ABC,20170510,14.0659,17.2542,14.0659,17.2542,1200,30.0000,36.8000,30.0000,36.8000,0,0,0
ABC,20170509,15.3788,15.3788,15.3788,15.3787,100,32.8000,32.8000,32.8000,32.8000,0,0,0
ABC,20170508,14.5348,14.5348,14.5348,14.5348,100,31.0000,31.0000,31.0000,31.0000,0,0,0
ABC,20170505,14.0659,14.8161,14.0659,14.8161,1100,30.0000,31.6000,30.0000,31.6000,0,0,0
ABC,20170504,14.9098,14.9098,14.9098,14.9099,100,31.8000,31.8000,31.8000,31.8000,0,0,0
ABC,20170503,12.5187,14.0191,12.5187,14.0190,3800,26.7000,29.9000,26.7000,29.9000,0,0,0
ABC,20170428,11.9560,12.2373,11.9560,12.2374,7500,25.5000,26.1000,25.5000,26.1000,0,0,0
ABC,20170425,14.0659,14.0659,14.0659,14.0659,4000,30.0000,30.0000,30.0000,30.0000,0,0,0
ABC,20170424,14.1597,14.1597,14.0659,14.0659,2010,30.2000,30.2000,30.0000,30.0000,0,0,0
ABC,20170420,15.0974,15.0974,15.0036,15.0037,1500,32.2000,32.2000,32.0000,32.0000,0,0,0
ABC,20170419,15.0974,15.4725,15.0036,15.4725,3200,32.2000,33.0000,32.0000,33.0000,0,0,0
ABC,20170417,15.5663,15.5663,14.5348,14.5348,700,33.2000,33.2000,31.0000,31.0000,0,0,0
