<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HBD,20100809,4.0757,4.0757,4.0757,4.0757,1200,16.5000,16.5000,16.5000,16.5000,0,0,0
HBD,20100806,4.1992,4.1992,4.1992,4.1992,1000,17.0000,17.0000,17.0000,17.0000,0,0,0
HBD,20100805,4.1992,4.1992,4.1992,4.1992,1400,17.0000,17.0000,17.0000,17.0000,0,0,0
HBD,20100804,4.1992,4.1992,4.1251,4.1498,8500,17.0000,17.0000,16.7000,16.8000,0,0,1400
HBD,20100803,4.1004,4.1745,4.1004,4.1745,3100,16.6000,16.9000,16.6000,16.9000,0,0,0
HBD,20100802,4.1745,4.1992,4.1745,4.1992,3000,16.9000,17.0000,16.9000,17.0000,0,0,0
HBD,20100730,4.1992,4.1992,4.1992,4.1992,4000,17.0000,17.0000,17.0000,17.0000,0,0,0
HBD,20100729,4.1004,4.1004,4.0757,4.0757,8400,16.6000,16.6000,16.5000,16.5000,0,0,0
HBD,20100728,4.1004,4.1004,4.0757,4.0757,4100,16.6000,16.6000,16.5000,16.5000,0,0,0
HBD,20100727,4.0757,4.0757,4.0510,4.0510,5500,16.5000,16.5000,16.4000,16.4000,0,0,0
HBD,20100726,4.5697,4.5697,4.2733,4.2733,10600,18.5000,18.5000,17.3000,17.3000,0,0,0
HBD,20100723,4.6191,4.6191,4.5450,4.5697,1200,18.7000,18.7000,18.4000,18.5000,0,0,0
HBD,20100722,4.6932,4.6932,4.4956,4.6685,8600,19.0000,19.0000,18.2000,18.9000,0,0,0
HBD,20100721,4.8167,4.9155,4.5697,4.5697,26800,19.5000,19.9000,18.5000,18.5000,0,0,0
HBD,20100720,4.4462,4.5944,4.4462,4.5944,74500,18.0000,18.6000,18.0000,18.6000,0,0,700
HBD,20100719,4.1745,4.3474,4.1745,4.3474,32900,16.9000,17.6000,16.9000,17.6000,0,0,0
HBD,20100716,4.0510,4.1745,4.0263,4.0510,5000,16.4000,16.9000,16.3000,16.4000,0,0,0
HBD,20100715,4.0263,4.0263,4.0263,4.0263,600,16.3000,16.3000,16.3000,16.3000,0,0,0
HBD,20100714,4.0263,4.0510,4.0263,4.0510,4700,16.3000,16.4000,16.3000,16.4000,0,0,0
HBD,20100713,4.1745,4.1745,4.0510,4.0510,7200,16.9000,16.9000,16.4000,16.4000,0,1500,0
HBD,20100712,4.1251,4.1498,4.1251,4.1498,200,16.7000,16.8000,16.7000,16.8000,0,0,0
HBD,20100709,4.0757,4.0757,4.0510,4.0510,700,16.5000,16.5000,16.4000,16.4000,0,0,0
HBD,20100708,4.0757,4.0757,4.0016,4.0757,2800,16.5000,16.5000,16.2000,16.5000,0,0,0
HBD,20100707,4.0757,4.0757,4.0016,4.0016,1500,16.5000,16.5000,16.2000,16.2000,0,0,0
HBD,20100706,4.0016,4.0510,4.0016,4.0510,1100,16.2000,16.4000,16.2000,16.4000,0,0,0
HBD,20100702,4.1745,4.1745,4.1745,4.1745,500,16.9000,16.9000,16.9000,16.9000,0,0,0
HBD,20100630,4.0263,4.1745,4.0263,4.0263,5400,16.3000,16.9000,16.3000,16.3000,0,0,0
HBD,20100629,4.0263,4.0757,4.0263,4.0757,1900,16.3000,16.5000,16.3000,16.5000,0,0,0
HBD,20100628,4.0263,4.0263,4.0263,4.0263,1000,16.3000,16.3000,16.3000,16.3000,0,0,0
HBD,20100625,4.0757,4.0757,4.0757,4.0757,4100,16.5000,16.5000,16.5000,16.5000,0,0,0
HBD,20100624,4.1745,4.1992,4.1004,4.1004,2800,16.9000,17.0000,16.6000,16.6000,0,0,0
HBD,20100623,4.1004,4.1251,4.1004,4.1004,2100,16.6000,16.7000,16.6000,16.6000,0,0,0
HBD,20100622,4.0757,4.1004,4.0757,4.1004,9800,16.5000,16.6000,16.5000,16.6000,0,0,0
HBD,20100621,4.1498,4.1498,4.1498,4.1498,200,16.8000,16.8000,16.8000,16.8000,0,0,0
HBD,20100618,4.1004,4.1004,4.0757,4.0757,1700,16.6000,16.6000,16.5000,16.5000,0,0,0
HBD,20100617,4.0757,4.0757,4.0757,4.0757,2100,16.5000,16.5000,16.5000,16.5000,0,1000,0
HBD,20100616,4.1745,4.1745,4.0757,4.0757,2100,16.9000,16.9000,16.5000,16.5000,0,0,0
HBD,20100615,3.9769,4.0757,3.9769,4.0757,14200,16.1000,16.5000,16.1000,16.5000,0,0,0
HBD,20100614,4.1745,4.1745,4.1498,4.1498,200,16.9000,16.9000,16.8000,16.8000,0,0,0
HBD,20100611,4.0757,4.1745,4.0757,4.1745,2200,16.5000,16.9000,16.5000,16.9000,0,0,0
HBD,20100610,3.9769,4.1992,3.9769,4.1992,2000,16.1000,17.0000,16.1000,17.0000,0,0,0
HBD,20100609,4.1745,4.1992,4.1745,4.1992,2000,16.9000,17.0000,16.9000,17.0000,0,0,0
HBD,20100608,4.0016,4.0016,3.9769,3.9769,1600,16.2000,16.2000,16.1000,16.1000,0,200,0
HBD,20100607,4.0263,4.0263,3.9522,4.0263,5800,16.3000,16.3000,16.0000,16.3000,0,0,0
